"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","perlinig-ethz"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output 3-2dstatmw1_get.csv",,,,"Date:","22 Nov 2017 21:29:27 UTC"

"total cpu usage",,,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","hiq","siq","cpu process","read","writ","recv","send","memory process"
5.853,7.307,85.011,0.091,1.738,0.0,ksoftirqd/3 / 0%,4721.104,5277950.493,0.0,0.0,java / 96579584%,
4.337,3.470,91.202,0.124,0.867,0.0,java / 5%,0.0,0.0,807286.0,1142966.0,java / 96837632%,
7.250,4.125,87.750,0.0,0.875,0.0,java / 9%,0.0,0.0,802732.0,1127954.0,java / 98074624%,
3.125,3.500,92.500,0.0,0.875,0.0,java / 4%,0.0,0.0,831219.0,1170277.0,java / 98643968%,
3.0,3.375,92.750,0.0,0.875,0.0,java / 4%,0.0,0.0,840238.0,1167106.0,java / 98488320%,
2.764,3.015,93.090,0.377,0.754,0.0,java / 3%,0.0,28672.0,714359.0,991113.0,java / 98488320%,
2.736,3.109,93.284,0.0,0.871,0.0,java / 3%,0.0,0.0,817657.0,1146407.0,java / 98488320%,
3.004,3.504,92.616,0.0,0.876,0.0,java / 4%,0.0,0.0,847480.0,1186688.0,java / 97951744%,
2.500,3.125,93.500,0.0,0.875,0.0,java / 3%,0.0,0.0,855146.0,1196376.0,java / 97951744%,
2.875,3.375,92.875,0.0,0.875,0.0,java / 3%,0.0,0.0,873954.0,1230364.0,java / 98246656%,
10.250,6.375,82.500,0.0,0.875,0.0,java / 14%,0.0,0.0,882356.0,1223950.0,java / 99749888%,
2.375,3.250,93.0,0.500,0.875,0.0,java / 3%,0.0,28672.0,916714.0,1262504.0,java / 99749888%,
2.122,3.371,93.633,0.0,0.874,0.0,java / 3%,0.0,0.0,871088.0,1198388.0,java / 101322752%,
1.880,3.133,94.110,0.0,0.877,0.0,java / 2%,0.0,0.0,900422.0,1239706.0,java / 101322752%,
2.372,3.121,93.633,0.0,0.874,0.0,java / 3%,0.0,0.0,860104.0,1167940.0,java / 99966976%,
2.253,2.753,94.243,0.0,0.751,0.0,java / 3%,0.0,0.0,747812.0,1020578.0,java / 99504128%,
2.871,3.121,93.134,0.0,0.874,0.0,java / 4%,0.0,0.0,788078.0,1101106.0,java / 100421632%,
1.877,3.129,93.742,0.375,0.876,0.0,java / 3%,0.0,16384.0,939728.0,1305300.0,java / 100421632%,
2.0,3.125,94.0,0.0,0.875,0.0,java / 2%,0.0,0.0,911128.0,1256060.0,java / 102559744%,
1.623,3.121,94.382,0.0,0.874,0.0,java / 2%,0.0,0.0,872448.0,1212790.0,java / 101748736%,
1.877,2.628,94.618,0.0,0.876,0.0,java / 2%,0.0,0.0,743194.0,1021228.0,java / 100696064%,
1.500,2.625,95.250,0.0,0.625,0.0,java / 2%,0.0,0.0,793272.0,1083054.0,java / 100696064%,
1.875,3.250,93.375,0.625,0.875,0.0,java / 2%,0.0,57344.0,905500.0,1249188.0,java / 100696064%,
1.873,3.121,94.007,0.0,0.999,0.0,java / 2%,0.0,0.0,897188.0,1229966.0,java / 100700160%,
1.750,3.250,94.125,0.0,0.875,0.0,java / 2%,0.0,0.0,926072.0,1271308.0,java / 100700160%,
1.754,3.133,94.236,0.0,0.877,0.0,java / 2%,0.0,0.0,924860.0,1227930.0,java / 99651584%,
1.748,3.121,94.257,0.0,0.874,0.0,java / 2%,0.0,0.0,854002.0,1172304.0,java / 99651584%,
