"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","perlinig-ethz"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output 3-2dstatmw1_get2.csv",,,,"Date:","22 Nov 2017 23:07:02 UTC"

"total cpu usage",,,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","hiq","siq","cpu process","read","writ","recv","send","memory process"
5.779,7.215,85.201,0.089,1.716,0.0,ksoftirqd/3 / 0%,4223.553,4722456.968,0.0,0.0,java / 100245504%,
2.363,3.234,93.532,0.0,0.871,0.0,java / 3%,0.0,4096.0,896337.0,1235226.0,java / 102342656%,
1.750,3.375,93.625,0.375,0.875,0.0,java / 2%,0.0,61440.0,931605.0,1287956.0,java / 102342656%,
2.250,3.125,93.875,0.0,0.750,0.0,java / 3%,0.0,0.0,837146.0,1152738.0,java / 101294080%,
1.870,3.491,93.641,0.0,0.998,0.0,java / 3%,0.0,0.0,888868.0,1229620.0,java / 101294080%,
2.005,3.258,93.860,0.0,0.877,0.0,java / 3%,0.0,0.0,936362.0,1277290.0,java / 101294080%,
1.752,3.129,94.243,0.0,0.876,0.0,java / 2%,0.0,0.0,848942.0,1161800.0,java / 101294080%,
1.746,3.117,93.516,0.623,0.998,0.0,java / 2%,0.0,20480.0,817004.0,1118918.0,java / 101294080%,
2.503,3.254,93.367,0.0,0.876,0.0,java / 4%,0.0,0.0,903914.0,1248262.0,java / 100241408%,
1.875,3.375,93.875,0.0,0.875,0.0,java / 2%,0.0,0.0,949720.0,1314224.0,java / 100241408%,
2.253,3.379,93.367,0.0,1.001,0.0,java / 3%,0.0,0.0,920258.0,1274806.0,java / 100241408%,
1.875,3.250,94.0,0.0,0.875,0.0,java / 3%,0.0,0.0,952502.0,1314420.0,java / 100241408%,
2.250,3.250,93.625,0.0,0.875,0.0,java / 3%,0.0,4096.0,924142.0,1276512.0,java / 99192832%,
1.625,3.250,93.875,0.375,0.875,0.0,java / 2%,0.0,20480.0,890154.0,1229326.0,java / 99192832%,
1.877,3.254,93.992,0.0,0.876,0.0,java / 2%,0.0,0.0,894244.0,1241778.0,java / 99192832%,
1.625,3.0,94.500,0.0,0.875,0.0,java / 2%,0.0,0.0,876388.0,1207026.0,java / 99192832%,
2.253,3.129,93.742,0.0,0.876,0.0,java / 3%,0.0,0.0,888636.0,1228118.0,java / 98222080%,
1.748,3.246,94.007,0.0,0.999,0.0,java / 2%,0.0,0.0,958288.0,1310974.0,java / 98222080%,
2.128,3.379,93.492,0.125,0.876,0.0,java / 3%,0.0,16384.0,931520.0,1276248.0,java / 98361344%,
1.750,3.250,93.750,0.250,1.0,0.0,java / 2%,0.0,0.0,887800.0,1221962.0,java / 98361344%,
1.873,3.246,93.883,0.0,0.999,0.0,java / 2%,0.0,0.0,953484.0,1307698.0,java / 97837056%,
1.752,3.129,94.243,0.0,0.876,0.0,java / 3%,0.0,0.0,920544.0,1267924.0,java / 97837056%,
1.875,3.0,94.250,0.0,0.875,0.0,java / 2%,0.0,0.0,836965.0,1144097.0,java / 97837056%,
1.873,3.121,94.132,0.0,0.874,0.0,java / 2%,0.0,0.0,930316.0,1271888.0,java / 97837056%,
2.250,3.375,93.375,0.250,0.750,0.0,java / 3%,0.0,16384.0,922720.0,1269334.0,java / 97312768%,
2.628,3.379,93.116,0.0,0.876,0.0,java / 3%,0.0,0.0,1045316.0,1441350.0,java / 97353728%,
1.748,3.496,93.883,0.0,0.874,0.0,java / 2%,0.0,0.0,1010472.0,1388152.0,java / 97353728%,
1.880,3.008,94.361,0.0,0.752,0.0,java / 2%,0.0,20480.0,906634.0,1257982.0,java / 96829440%,
1.623,2.996,94.507,0.0,0.874,0.0,java / 2%,0.0,0.0,864894.0,1193426.0,java / 96829440%,
1.750,3.0,94.375,0.0,0.875,0.0,java / 2%,0.0,0.0,854286.0,1175810.0,java / 96849920%,
1.877,3.004,93.992,0.250,0.876,0.0,java / 2%,0.0,20480.0,843874.0,1158500.0,java / 96849920%,
1.625,3.125,94.375,0.0,0.875,0.0,java / 2%,0.0,0.0,872826.0,1203198.0,java / 96321536%,
1.877,3.379,93.867,0.0,0.876,0.0,java / 2%,0.0,24576.0,944134.0,1309562.0,java / 96321536%,
1.752,3.004,94.368,0.0,0.876,0.0,java / 2%,0.0,0.0,876482.0,1200760.0,java / 96362496%,
2.122,3.246,93.758,0.0,0.874,0.0,java / 3%,0.0,0.0,900026.0,1235786.0,java / 95838208%,
1.877,3.129,94.118,0.0,0.876,0.0,java / 2%,0.0,0.0,920412.0,1254856.0,java / 95838208%,
1.873,3.246,93.508,0.499,0.874,0.0,java / 2%,0.0,24576.0,886460.0,1207552.0,java / 95838208%,
1.625,3.125,94.375,0.0,0.875,0.0,java / 2%,0.0,16384.0,875130.0,1204464.0,java / 95838208%,
1.873,3.121,94.132,0.0,0.874,0.0,java / 2%,0.0,0.0,884284.0,1207050.0,java / 95313920%,
1.875,3.375,93.875,0.0,0.875,0.0,java / 2%,0.0,0.0,951062.0,1317212.0,java / 95313920%,
2.503,3.004,93.617,0.0,0.876,0.0,java / 3%,0.0,0.0,913594.0,1264332.0,java / 95313920%,
