"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms5",,,,"User:","perlinig-ethz"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output 3-2dstatmw2_set.csv",,,,"Date:","22 Nov 2017 17:14:33 UTC"

"total cpu usage",,,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","hiq","siq","cpu process","read","writ","recv","send","memory process"
1.983,2.592,93.002,1.138,1.286,0.0,ksoftirqd/3 / 0%,133759.670,150289138.328,0.0,0.0,java / 98074624%,
1.487,1.983,95.911,0.0,0.620,0.0,java / 1%,45056.0,0.0,844150.0,1130274.0,java / 98074624%,
1.502,2.003,95.870,0.0,0.626,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,0.0,744599.0,1008685.0,java / 97021952%,
1.500,1.875,95.750,0.250,0.625,0.0,java / 1%,0.0,90112.0,862595.0,1155187.0,java / 97021952%,
1.500,2.0,95.875,0.0,0.625,0.0,java / 1%,0.0,0.0,804545.0,1077161.0,java / 97021952%,
1.750,2.250,95.500,0.0,0.500,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,77824.0,777353.0,1095907.0,java / 99119104%,
1.500,2.125,95.750,0.0,0.625,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,0.0,773892.0,1073274.0,java / 99119104%,
1.502,2.003,95.995,0.0,0.501,0.0,java / 1%,0.0,0.0,817940.0,1092078.0,java / 99119104%,
1.500,2.125,95.500,0.250,0.625,0.0,java / 1%,0.0,16384.0,819215.0,1092311.0,java / 99119104%,
1.500,2.0,95.875,0.0,0.625,0.0,java / 1%,0.0,0.0,839497.0,1142400.0,java / 98070528%,
1.500,2.125,95.750,0.0,0.625,0.0,java / 1%,0.0,0.0,848900.0,1135503.0,java / 98070528%,
1.502,2.003,95.995,0.0,0.501,0.0,java / 1%,0.0,0.0,834039.0,1104877.0,java / 98070528%,
1.498,1.873,96.005,0.0,0.624,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,0.0,686427.0,929087.0,java / 98070528%,
1.377,1.752,95.995,0.250,0.626,0.0,java / 1%,0.0,16384.0,828671.0,1107425.0,java / 98070528%,
1.625,2.0,95.875,0.0,0.500,0.0,java / 1%,0.0,0.0,820995.0,1091424.0,java / 98070528%,
1.375,1.875,96.125,0.0,0.625,0.0,java / 1%,0.0,0.0,833000.0,1113637.0,java / 98070528%,
1.500,2.0,95.875,0.0,0.625,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,0.0,839094.0,1134968.0,java / 97017856%,
1.500,2.0,95.875,0.0,0.625,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,0.0,776580.0,1072250.0,java / 97017856%,
1.375,1.875,95.875,0.125,0.750,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,16384.0,798944.0,1075510.0,java / 97017856%,
1.752,2.003,95.620,0.0,0.626,0.0,java / 2%,0.0,0.0,736022.0,1046290.0,java / 99115008%,
1.500,1.875,95.875,0.0,0.750,0.0,java / 1%,0.0,0.0,833212.0,1117336.0,java / 99115008%,
1.500,2.250,95.625,0.0,0.625,0.0,java / 1%,0.0,0.0,795842.0,1059988.0,java / 99115008%,
1.375,2.0,96.0,0.0,0.625,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,0.0,816915.0,1120559.0,java / 106536960%,
1.625,1.875,95.625,0.250,0.625,0.0,java / 1%,0.0,16384.0,792907.0,1052501.0,java / 106536960%,
1.377,1.877,96.245,0.0,0.501,0.0,java / 1%,0.0,0.0,846831.0,1128269.0,java / 106536960%,
1.502,2.128,95.620,0.0,0.751,0.0,java / 1%,0.0,20480.0,810647.0,1129527.0,java / 106536960%,
1.373,1.748,96.255,0.0,0.624,0.0,java / 1%,0.0,0.0,783630.0,1048022.0,java / 106536960%,
1.500,2.125,95.875,0.0,0.500,0.0,sshd: perlinig-ethz@notty
 / 1%,0.0,0.0,719587.0,990343.0,java / 106536960%,
1.500,1.875,95.625,0.375,0.625,0.0,java / 1%,0.0,16384.0,850234.0,1150000.0,java / 105484288%,
