PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=0.739 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=1.65 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=3.64 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=0.795 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=0.644 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=3.10 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=0.867 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=0.731 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=0.587 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=0.659 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=0.765 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=0.960 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.829 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=0.643 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=0.771 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=0.795 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=0.964 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=0.664 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=0.917 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=0.958 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=0.771 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=2.15 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=0.714 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=0.742 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=0.629 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=0.572 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=0.989 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=0.796 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=0.723 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=0.615 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=0.716 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=0.755 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=0.776 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=1.71 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=0.746 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=0.738 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=0.551 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=0.943 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=0.682 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=1.30 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=0.583 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=1.31 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=0.770 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=0.996 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=0.716 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=0.597 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=0.689 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=1.08 ms

--- 10.0.0.7 ping statistics ---
48 packets transmitted, 48 received, 0% packet loss, time 14111250ms
rtt min/avg/max/mdev = 0.551/0.959/3.645/0.593 ms
