"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms4",,,,"User:","perlinig-ethz"
"Cmdline:","dstat -c --top-cpu -dn --top-mem --output 3-1dstat_get.csv",,,,"Date:","22 Nov 2017 15:33:44 UTC"

"total cpu usage",,,,,,"most expensive","dsk/total",,"net/total",,"most expensive"
"usr","sys","idl","wai","hiq","siq","cpu process","read","writ","recv","send","memory process"
5.855,7.323,85.014,0.102,1.707,0.0,ksoftirqd/3 / 0%,8271.035,9244746.233,0.0,0.0,java / 105402368%,
3.491,5.362,89.776,0.0,1.372,0.0,java / 7%,0.0,0.0,1653466.0,2316256.0,java / 130568192%,
4.756,6.008,86.984,0.876,1.377,0.0,java / 9%,0.0,32768.0,1494246.0,2084262.0,java / 155627520%,
5.743,5.868,87.016,0.0,1.373,0.0,java / 9%,0.0,0.0,1469498.0,2032052.0,java / 156807168%,
3.250,5.250,90.0,0.0,1.500,0.0,java / 6%,0.0,0.0,1455736.0,2009570.0,java / 156807168%,
3.625,5.625,89.375,0.0,1.375,0.0,java / 7%,0.0,0.0,1653794.0,2305050.0,java / 163098624%,
4.380,5.632,88.611,0.0,1.377,0.0,java / 7%,0.0,0.0,1686816.0,2362440.0,java / 163098624%,
3.371,5.243,89.763,0.0,1.623,0.0,java / 6%,0.0,0.0,1553480.0,2159172.0,java / 161935360%,
4.005,5.507,88.861,0.375,1.252,0.0,java / 8%,0.0,16384.0,1565519.0,2173157.0,java / 164032512%,
3.875,5.875,88.625,0.0,1.625,0.0,java / 7%,0.0,0.0,1705769.0,2371309.0,java / 164249600%,
3.741,5.486,89.401,0.0,1.372,0.0,java / 8%,0.0,0.0,1671495.0,2300401.0,java / 164249600%,
3.639,4.893,90.213,0.0,1.255,0.0,java / 6%,0.0,0.0,1388756.0,1908420.0,java / 166039552%,
3.254,5.632,89.612,0.0,1.502,0.0,java / 6%,0.0,0.0,1686308.0,2337844.0,java / 166039552%,
3.500,5.750,88.875,0.250,1.625,0.0,java / 7%,0.0,16384.0,1724118.0,2408658.0,java / 166039552%,
4.625,5.750,88.125,0.0,1.500,0.0,java / 8%,0.0,0.0,1694348.0,2355504.0,java / 166039552%,
3.125,5.125,90.375,0.0,1.375,0.0,java / 6%,0.0,4096.0,1586619.0,2217512.0,java / 166039552%,
2.879,5.006,90.864,0.0,1.252,0.0,java / 6%,0.0,0.0,1544576.0,2168870.0,java / 166039552%,
3.379,5.382,89.737,0.0,1.502,0.0,java / 6%,0.0,0.0,1688903.0,2368604.0,java / 164990976%,
2.993,4.988,90.524,0.0,1.496,0.0,java / 6%,0.0,0.0,1487906.0,2057200.0,java / 164990976%,
3.008,5.013,90.226,0.376,1.378,0.0,java / 6%,0.0,16384.0,1506052.0,2086922.0,java / 167120896%,
3.496,5.618,89.388,0.0,1.498,0.0,java / 6%,0.0,32768.0,1691292.0,2352418.0,java / 167120896%,
3.375,5.750,89.375,0.0,1.500,0.0,java / 7%,0.0,0.0,1661583.0,2310245.0,java / 167120896%,
3.750,5.250,89.625,0.0,1.375,0.0,java / 7%,0.0,0.0,1538345.0,2147765.0,java / 166068224%,
3.004,5.257,90.363,0.0,1.377,0.0,java / 6%,0.0,0.0,1606978.0,2230184.0,java / 166068224%,
3.375,5.250,89.875,0.0,1.500,0.0,java / 6%,0.0,0.0,1607542.0,2231910.0,java / 166068224%,
2.875,5.375,89.625,0.500,1.625,0.0,java / 6%,0.0,61440.0,1544896.0,2147802.0,java / 166068224%,
3.125,5.125,90.250,0.0,1.500,0.0,java / 6%,0.0,16384.0,1500506.0,2067442.0,java / 166068224%,
3.254,5.382,89.862,0.0,1.502,0.0,java / 6%,0.0,0.0,1666070.0,2332702.0,java / 165019648%,
