S1 Load	S2 Load	S3 Load
10133	10133	10133
10069	10069	10069
9998	9998	9998
10097	10097	10097
9928	9928	9928
10087	10087	10087
9994	9994	9994
10061	10061	10061
10011	10011	10011
10112	10112	10112
10046	10046	10046
9940	9940	9940
10070	10070	10070
10204	10204	10204
9923	9923	9923
10057	10057	10057
10043	10043	10043
10069	10069	10069
9867	9867	9867
9940	9940	9940
9989	9989	9989
10005	10005	10005
10044	10044	10044
10036	10036	10036
10014	10014	10014
10118	10118	10118
9948	9948	9948
10013	10013	10013
9928	9928	9928
10167	10167	10167
10037	10037	10037
10047	10047	10047
