S1 Load	S2 Load	S3 Load
501	515	483
548	512	484
521	519	476
474	566	474
497	501	524
503	534	498
475	505	548
484	476	498
523	485	513
500	516	550
507	532	479
469	482	545
496	511	531
536	483	499
523	532	505
518	502	499
467	484	503
546	486	474
513	524	512
517	461	496
506	514	522
490	478	517
517	524	545
504	476	507
494	514	510
500	494	496
474	525	494
502	526	485
494	513	522
486	492	501
522	544	489
502	525	524
510	494	493
514	488	503
521	494	504
539	513	495
497	501	493
543	509	534
476	478	514
508	512	557
504	506	475
505	493	514
496	502	539
508	507	496
486	468	517
507	507	501
520	545	496
523	513	488
503	500	514
500	476	491
509	484	503
493	505	503
494	474	489
524	481	487
507	536	491
518	550	514
495	493	513
541	524	493
497	528	507
527	496	498
495	527	522
537	486	505
441	507	496
493	492	492

AVG: 505.3125	505.3125	505.3125
