Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,84,0.006015,89410,83,0.005934,89288,0,83,0,0
1,51,0.010569,54288,52,0.008802,55944,0,52,0,0
2,90,0.006002,95793,90,0.005079,96832,0,90,0,0
3,138,0.004019,146891,138,0.003219,148472,0,138,0,0
4,123,0.00426,130918,122,0.003717,131246,0,122,0,0
5,133,0.00459,141572,133,0.003067,143090,0,133,0,0
6,150,0.003617,159644,151,0.003013,162430,0,151,0,0
7,144,0.003273,153271,144,0.003654,154904,0,144,0,0
8,194,0.002701,206492,194,0.002431,208708,0,194,0,0
9,149,0.003038,158599,148,0.003674,159202,0,148,0,0
10,165,0.003179,175614,166,0.002851,178568,0,166,0,0
11,192,0.002794,204362,191,0.002411,205486,0,191,0,0
12,194,0.002767,206488,195,0.002355,209770,0,195,0,0
13,154,0.002755,163906,154,0.003728,165674,0,154,0,0
14,208,0.00257,221393,207,0.002232,222686,0,207,0,0
15,212,0.002498,225648,213,0.002195,229158,0,213,0,0
16,178,0.003186,189461,178,0.002351,191496,0,178,0,0
17,191,0.0029,203310,190,0.002297,204386,0,190,0,0
18,165,0.003006,175628,166,0.00312,178564,0,166,0,0
19,138,0.004162,146892,138,0.003055,148464,0,138,0,0
20,162,0.003273,172437,161,0.00258,173198,0,161,0,0
21,198,0.002326,210751,199,0.002963,214086,0,199,0,0
22,208,0.002609,221398,208,0.002179,223754,0,208,0,0
23,202,0.002611,215011,202,0.002336,217304,0,202,0,0
24,207,0.002591,220325,206,0.002236,221604,0,206,0,0
25,186,0.002936,197974,187,0.002411,201164,0,187,0,0
26,195,0.002604,207544,194,0.002516,208698,0,194,0,0
27,185,0.003183,196928,185,0.002208,199016,0,185,0,0
28,195,0.002942,207570,195,0.002177,209780,0,195,0,0
29,186,0.003027,197970,186,0.002322,200088,0,186,0,0
30,199,0.00251,211817,199,0.002504,214084,0,199,0,0
31,181,0.003004,192657,182,0.002485,194737,1,181,0,0
32,142,0.004097,151139,142,0.002891,152764,0,142,0,0
33,211,0.002683,224597,210,0.002074,225910,0,210,0,0
34,215,0.002256,228845,215,0.002379,231288,0,215,0,0
35,188,0.002644,200098,188,0.00265,202262,0,188,0,0
36,195,0.002969,207552,196,0.002141,210850,0,196,0,0
37,182,0.002577,193718,181,0.002919,193653,1,180,0,0
38,215,0.002554,228831,216,0.002062,232372,0,216,0,0
39,198,0.002723,210757,197,0.002319,211942,0,197,0,0
40,210,0.002361,223502,210,0.002383,225910,0,210,0,0
41,211,0.002587,224569,212,0.002134,228056,0,212,0,0
42,212,0.002494,225653,212,0.002221,228066,0,212,0,0
43,214,0.00241,227776,214,0.002249,230228,0,214,0,0
44,200,0.002746,212884,199,0.002238,214074,0,199,0,0
45,217,0.002344,230985,217,0.00226,233430,0,217,0,0
46,207,0.002518,220331,207,0.002282,222678,0,207,0,0
47,203,0.002628,216054,204,0.002276,219466,0,204,0,0
48,170,0.002734,180952,170,0.003145,182888,0,170,0,0
49,179,0.003049,190517,178,0.002542,191482,0,178,0,0
