Per-Second Benchmark Data,,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,,
0,49,0.007839,52151,49,0.01247,470518,0,441,0,0,,
1,91,0.00444,96869,91,0.006225,873794,0,819,0,0,,
2,113,0.004437,120266,112,0.004674,1075396,0,1008,0,0,,
3,134,0.00346,142623,135,0.00398,1296264,0,1215,0,0,,
4,127,0.003654,135184,127,0.004188,1219460,0,1143,0,0,,
5,142,0.00329,151150,142,0.003738,1363490,0,1278,0,0,,
6,127,0.003728,135176,127,0.004137,1219466,0,1143,0,0,,
7,129,0.003539,137315,129,0.00416,1238672,0,1161,0,0,,
8,126,0.0038,134123,126,0.003906,1209848,0,1134,0,0,,
9,144,0.00369,153279,144,0.003447,1382700,0,1296,0,0,,
10,165,0.002777,175625,165,0.00326,1584340,0,1485,0,0,,
11,161,0.002838,171364,161,0.003358,1544885,1,1448,0,0,,
12,156,0.002947,166044,155,0.003442,1488348,0,1395,0,0,,
13,145,0.002956,154335,145,0.003908,1390164,2,1303,0,0,,
14,149,0.003299,158592,149,0.003419,1430752,0,1341,0,0,,
15,147,0.002984,156465,148,0.003768,1420047,1,1331,0,0,,
16,150,0.003055,159641,150,0.003589,1439233,1,1349,0,0,,
17,147,0.003146,156480,146,0.003654,1401874,0,1314,0,0,,
18,159,0.002981,169225,160,0.003267,1536252,0,1440,0,0,,
19,155,0.002985,164973,155,0.003442,1488300,0,1395,0,0,,
20,156,0.003103,166032,155,0.003283,1488294,0,1395,0,0,,
21,143,0.003125,152209,144,0.003831,1382634,0,1296,0,0,,
22,145,0.003157,154349,144,0.003745,1382672,0,1296,0,0,,
23,157,0.002988,167111,157,0.003359,1507526,0,1413,0,0,,
24,159,0.003,169243,159,0.003247,1526698,0,1431,0,0,,
25,144,0.003442,153268,144,0.003501,1382626,0,1296,0,0,,
26,165,0.002756,175621,165,0.003265,1584318,0,1485,0,0,,
27,153,0.002948,162842,153,0.003571,1469082,0,1377,0,0,,
28,157,0.002979,167113,158,0.003352,1517148,0,1422,0,0,,
29,158,0.002928,168183,158,0.003343,1517072,0,1422,0,0,,
30,154,0.003058,163916,153,0.003465,1469140,0,1377,0,0,,
31,163,0.002944,173491,163,0.003151,1565126,0,1467,0,0,,
32,166,0.002572,176682,167,0.003445,1603586,0,1503,0,0,,
33,169,0.002717,179886,168,0.003186,1613120,0,1512,0,0,,
34,156,0.002824,166045,156,0.003578,1497932,0,1404,0,0,,
35,158,0.002785,168183,158,0.00353,1517092,0,1422,0,0,,
36,159,0.002838,169233,160,0.003396,1536342,0,1440,0,0,,
37,154,0.002949,163917,154,0.003533,1478664,0,1386,0,0,,
38,162,0.002887,172442,161,0.003275,1543838,2,1447,0,0,,
39,171,0.002627,182013,171,0.003218,1641910,0,1539,0,0,,
40,150,0.003143,159663,151,0.003476,1449866,0,1359,0,0,,
41,161,0.002857,171365,160,0.003333,1535263,1,1439,0,0,,
42,158,0.00277,168170,159,0.003536,1525665,1,1430,0,0,,
43,154,0.002965,163916,154,0.003506,1476592,2,1384,0,0,,
44,164,0.002821,174557,163,0.003279,1565098,0,1467,0,0,,
45,157,0.003024,167102,158,0.003298,1517074,0,1422,0,0,,
46,164,0.002618,174560,163,0.003478,1564027,1,1466,0,0,,
47,165,0.002811,175611,165,0.003208,1584364,0,1485,0,0,,
48,166,0.002958,176696,166,0.003065,1593916,0,1494,0,0,,
49,158,0.002914,168176,159,0.003347,1526746,0,1431,0,0,,
50,164,0.002909,174558,163,0.0032,1565170,0,1467,0,0,,
51,168,0.00275,178821,168,0.003184,1613134,0,1512,0,0,,
52,152,0.003047,161795,152,0.003502,1458491,1,1367,0,0,,
53,159,0.003038,169228,159,0.003243,1525659,1,1430,0,0,,
54,163,0.0029,173484,163,0.0032,1564081,1,1466,0,0,,
55,170,0.0027,180949,170,0.003163,1632370,0,1530,0,0,,
56,163,0.002906,173491,163,0.003204,1565138,0,1467,0,0,,
57,161,0.002812,171373,162,0.003348,1554523,1,1457,0,0,,
58,161,0.002907,171369,160,0.003271,1536338,0,1440,0,0,,
59,156,0.002889,166040,156,0.003533,1497920,0,1404,0,0,,
60,157,0.003058,167107,157,0.00329,1506435,1,1412,0,0,,
61,157,0.002837,167101,158,0.003473,1517124,0,1422,0,0,,
62,166,0.002725,176682,166,0.003296,1593904,0,1494,0,0,,
63,159,0.002938,169242,158,0.003362,1517082,0,1422,0,0,,
64,149,0.003143,158588,150,0.003515,1440312,0,1350,0,0,,
65,158,0.003059,168165,158,0.003265,1516013,1,1421,0,0,,
66,153,0.003066,162843,153,0.003431,1464914,4,1373,0,0,,
67,152,0.003073,161795,152,0.003471,1457362,2,1366,0,0,,
68,161,0.002837,171367,161,0.003389,1545924,0,1449,0,0,,
69,157,0.002986,167113,156,0.003374,1494785,3,1401,0,0,,
70,164,0.002808,174566,164,0.003273,1574748,0,1476,0,0,,
71,166,0.002699,176687,167,0.003291,1600383,3,1500,0,0,,
72,150,0.003143,159665,149,0.003522,1430726,0,1341,0,0,,
73,162,0.00265,172426,162,0.003487,1555538,0,1458,0,0,,
74,155,0.003072,164984,155,0.003381,1486262,2,1393,0,0,,
75,143,0.003176,152205,143,0.00379,1373164,0,1287,0,0,,
76,159,0.00282,169233,159,0.003446,1524624,2,1429,0,0,,
77,158,0.002905,168184,158,0.003405,1517126,0,1422,0,0,,
78,170,0.002487,180937,170,0.003373,1632324,0,1530,0,0,,
79,167,0.002758,177770,168,0.003199,1612083,1,1511,0,0,,
80,1,0.001586,1065,0,0,0,0,0,0,0,,
,155.971830985916,,,155.957746478873,,,,,,,,
Full-Test GET Latency,,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,,
1.5,0.03,,,,,,,,,,,
1.6,0.11,,,12243,12242,,,,,,,
1.7,0.61,,,,,,,,,,,
1.8,2.03,,,,,,,,,,,
1.9,4.83,,,,12495,12494,,13347,13347,,14753,14752
2,9.24,,,,12243,12242,,13083,13082,,14985,14984
2.1,14.38,,,,24738,24736,,26430,26429,,29738,29736
2.2,20.63,,,,25260,25259,,26152,26152,,29642,29641
2.3,27.5,,,,24991,24991,,26194,26193,,29668,29668
2.4,34.26,,,,24996.3333333333,24995.3333333333,,26258.6666666667,26258,,29682.6666666667,29681.6666666667
2.5,40.39,,,,,,,,,,,
2.6,45.96,,,,,,,,,,,
2.7,50.66,,,,16728,16727,,,,,,
2.8,55.26,,,,17298,17297,,,,,,
2.9,58.75,,,,34026,34024,,,,,,
3,61.87,,,,33600,33599,,,,,,
3.1,64.68,,,,33583,33583,,,,,,
3.2,66.99,,,,33736.3333333333,33735.3333333333,,,,,,
3.3,68.84,,,,,,,,,,,
3.4,70.29,,,,set,get,,,,,,
3.5,71.65,,,k9,22281,22280.6666666667,k6,22788.3333333333,22787.6666666667,k3,25843.6666666667,25841.6666666667
3.6,72.77,,,,24996.3333333333,24995.3333333333,,26258.6666666667,26258,,29682.6666666667,29681.6666666667
3.7,73.65,,,,47277.3333333333,47276,,49047,49045.6666666667,,55526.3333333334,55523.3333333334
3.8,74.42,,,,,,,,,,,
3.9,75.18,,,,,,,,,,,
4,75.91,,,,,,,,,,,
4.1,76.55,,,k1,29160.6666666667,29160.3333333333,,,,,,
4.2,77.01,,,,33736.3333333333,33735.3333333333,,,,,,
4.3,77.4,,,,62897,62895.6666666666,,,,,,
4.4,77.93,,,,,,,,,,,
4.5,78.35,,,,,,,,,,,
4.6,78.81,,,,,,,,,,,
4.7,79.4,,,,,,,,,,,
4.8,79.91,,,,,,,,,,,
4.9,80.54,,,,,,,,,,,
5,81.33,,,,,,,,,,,
5.1,82.09,,,,,,,,,,,
5.2,82.94,,,,,,,,,,,
5.3,83.81,,,,,,,,,,,
5.4,84.75,,,,,,,,,,,
5.5,85.88,,,,,,,,,,,
5.6,86.72,,,,,,,,,,,
5.7,87.82,,,,,,,,,,,
5.8,88.87,,,,,,,,,,,
5.9,89.81,,,,,,,,,,,
6,90.63,,,,,,,,,,,
6.1,91.42,,,,,,,,,,,
6.2,92.15,,,,,,,,,,,
6.3,92.8,,,,,,,,,,,
6.4,93.46,,,,,,,,,,,
6.5,93.96,,,,,,,,,,,
6.6,94.44,,,,,,,,,,,
6.7,94.89,,,,,,,,,,,
6.8,95.28,,,,,,,,,,,
6.9,95.59,,,,,,,,,,,
7,95.87,,,,,,,,,,,
7.1,96.17,,,,,,,,,,,
7.2,96.47,,,,,,,,,,,
7.3,96.66,,,,,,,,,,,
7.4,96.83,,,,,,,,,,,
7.5,96.94,,,,,,,,,,,
7.6,97.08,,,,,,,,,,,
7.7,97.19,,,,,,,,,,,
7.8,97.33,,,,,,,,,,,
7.9,97.39,,,,,,,,,,,
8,97.51,,,,,,,,,,,
8.1,97.6,,,,,,,,,,,
8.2,97.71,,,,,,,,,,,
8.3,97.78,,,,,,,,,,,
8.4,97.84,,,,,,,,,,,
8.5,97.89,,,,,,,,,,,
8.6,97.96,,,,,,,,,,,
8.7,98.05,,,,,,,,,,,
8.8,98.12,,,,,,,,,,,
8.9,98.17,,,,,,,,,,,
9,98.24,,,,,,,,,,,
9.1,98.28,,,,,,,,,,,
9.2,98.37,,,,,,,,,,,
9.3,98.42,,,,,,,,,,,
9.4,98.46,,,,,,,,,,,
9.5,98.51,,,,,,,,,,,
9.6,98.62,,,,,,,,,,,
9.7,98.67,,,,,,,,,,,
9.8,98.71,,,,,,,,,,,
9.9,98.73,,,,,,,,,,,
10,98.9,,,,,,,,,,,
11,99.08,,,,,,,,,,,
12,99.27,,,,,,,,,,,
13,99.48,,,,,,,,,,,
14,99.56,,,,,,,,,,,
15,99.65,,,,,,,,,,,
16,99.71,,,,,,,,,,,
17,99.79,,,,,,,,,,,
18,99.8,,,,,,,,,,,
19,99.81,,,,,,,,,,,
20,99.83,,,,,,,,,,,
21,99.85,,,,,,,,,,,
22,99.87,,,,,,,,,,,
23,99.88,,,,,,,,,,,
24,99.89,,,,,,,,,,,
25,99.89,,,,,,,,,,,
26,99.91,,,,,,,,,,,
27,99.92,,,,,,,,,,,
29,99.93,,,,,,,,,,,
32,99.95,,,,,,,,,,,
35,99.96,,,,,,,,,,,
36,99.97,,,,,,,,,,,
37,99.98,,,,,,,,,,,
40,99.98,,,,,,,,,,,
51,99.99,,,,,,,,,,,
68,100,,,,,,,,,,,
,,,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,,
1.2,0.05,,,,,,,,,,,
1.3,0.4,,,,,,,,,,,
1.4,1.83,,,,,,,,,,,
1.5,4.67,,,,,,,,,,,
1.6,9.49,,,,,,,,,,,
1.7,15.64,,,,,,,,,,,
1.8,22.54,,,,,,,,,,,
1.9,29.47,,,,,,,,,,,
2,36.68,,,,,,,,,,,
2.1,43,,,,,,,,,,,
2.2,48.91,,,,,,,,,,,
2.3,54,,,,,,,,,,,
2.4,58.17,,,,,,,,,,,
2.5,61.49,,,,,,,,,,,
2.6,64.38,,,,,,,,,,,
2.7,66.94,,,,,,,,,,,
2.8,68.83,,,,,,,,,,,
2.9,70.43,,,,,,,,,,,
3,71.8,,,,,,,,,,,
3.1,72.96,,,,,,,,,,,
3.2,73.98,,,,,,,,,,,
3.3,74.7,,,,,,,,,,,
3.4,75.44,,,,,,,,,,,
3.5,76.16,,,,,,,,,,,
3.6,76.69,,,,,,,,,,,
3.7,77.09,,,,,,,,,,,
3.8,77.48,,,,,,,,,,,
3.9,78.03,,,,,,,,,,,
4,78.4,,,,,,,,,,,
4.1,78.87,,,,,,,,,,,
4.2,79.29,,,,,,,,,,,
4.3,79.83,,,,,,,,,,,
4.4,80.41,,,,,,,,,,,
4.5,81.1,,,,,,,,,,,
4.6,81.91,,,,,,,,,,,
4.7,82.79,,,,,,,,,,,
4.8,83.82,,,,,,,,,,,
4.9,85.01,,,,,,,,,,,
5,86.04,,,,,,,,,,,
5.1,87.08,,,,,,,,,,,
5.2,88.08,,,,,,,,,,,
5.3,89.32,,,,,,,,,,,
5.4,90.42,,,,,,,,,,,
5.5,91.33,,,,,,,,,,,
5.6,92.24,,,,,,,,,,,
5.7,93.06,,,,,,,,,,,
5.8,93.71,,,,,,,,,,,
5.9,94.35,,,,,,,,,,,
6,94.86,,,,,,,,,,,
6.1,95.2,,,,,,,,,,,
6.2,95.63,,,,,,,,,,,
6.3,95.92,,,,,,,,,,,
6.4,96.17,,,,,,,,,,,
6.5,96.44,,,,,,,,,,,
6.6,96.59,,,,,,,,,,,
6.7,96.83,,,,,,,,,,,
6.8,96.95,,,,,,,,,,,
6.9,97.1,,,,,,,,,,,
7,97.28,,,,,,,,,,,
7.1,97.36,,,,,,,,,,,
7.2,97.48,,,,,,,,,,,
7.3,97.51,,,,,,,,,,,
7.4,97.63,,,,,,,,,,,
7.5,97.7,,,,,,,,,,,
7.6,97.78,,,,,,,,,,,
7.7,97.86,,,,,,,,,,,
7.8,97.94,,,,,,,,,,,
7.9,97.98,,,,,,,,,,,
8,98.08,,,,,,,,,,,
8.1,98.19,,,,,,,,,,,
8.2,98.25,,,,,,,,,,,
8.3,98.34,,,,,,,,,,,
8.4,98.41,,,,,,,,,,,
8.5,98.45,,,,,,,,,,,
8.6,98.48,,,,,,,,,,,
8.7,98.51,,,,,,,,,,,
8.8,98.54,,,,,,,,,,,
8.9,98.58,,,,,,,,,,,
9,98.66,,,,,,,,,,,
9.1,98.71,,,,,,,,,,,
9.2,98.75,,,,,,,,,,,
9.3,98.77,,,,,,,,,,,
9.4,98.84,,,,,,,,,,,
9.5,98.87,,,,,,,,,,,
9.6,98.9,,,,,,,,,,,
9.7,98.91,,,,,,,,,,,
