Per-Second Benchmark Data,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,
0,61,0.00744,64927,61,0.008907,585736,0,549,0,0,
1,86,0.005515,91543,86,0.006051,825800,0,774,0,0,
2,104,0.004935,110688,104,0.00467,998568,0,936,0,0,
3,108,0.004523,114949,108,0.004644,1037012,0,972,0,0,
4,119,0.004204,126665,119,0.00423,1142646,0,1071,0,0,
5,151,0.003302,160732,150,0.003298,1440306,0,1350,0,0,
6,148,0.003339,157529,148,0.003391,1421104,0,1332,0,0,
7,140,0.00335,149022,140,0.003793,1344298,0,1260,0,0,
8,128,0.004258,136251,129,0.003501,1238644,0,1161,0,0,
9,141,0.003119,150090,140,0.003971,1344292,0,1260,0,0,
10,150,0.002968,159658,150,0.003506,1440326,0,1350,0,0,
11,159,0.002838,169236,160,0.003567,1535269,1,1439,0,0,
12,156,0.003247,166039,155,0.003133,1488356,0,1395,0,0,
13,128,0.003851,136245,128,0.003951,1226930,2,1150,0,0,
14,154,0.003193,163920,155,0.003219,1488356,0,1395,0,0,
15,163,0.00301,173490,163,0.003107,1564077,1,1466,0,0,
16,173,0.002433,184124,172,0.003355,1650483,1,1547,0,0,
17,120,0.003502,127733,121,0.004617,1161826,0,1089,0,0,
18,126,0.003802,134108,125,0.004288,1200216,0,1125,0,0,
19,169,0.002781,179868,170,0.003091,1632300,0,1530,0,0,
20,156,0.003068,166034,155,0.003319,1488302,0,1395,0,0,
21,162,0.002867,172428,163,0.003267,1565074,0,1467,0,0,
22,153,0.003376,162868,152,0.003158,1459472,0,1368,0,0,
23,140,0.003426,149017,140,0.003659,1344286,0,1260,0,0,
24,144,0.003341,153273,144,0.003615,1382682,0,1296,0,0,
25,146,0.003171,155404,147,0.003629,1411460,0,1323,0,0,
26,154,0.00313,163911,154,0.003318,1478656,0,1386,0,0,
27,138,0.003421,146878,137,0.003813,1315454,0,1233,0,0,
28,165,0.002653,175622,166,0.003359,1593938,0,1494,0,0,
29,148,0.003195,157539,147,0.003572,1411498,0,1323,0,0,
30,157,0.003211,167114,158,0.003119,1517100,0,1422,0,0,
31,149,0.002902,158593,149,0.003405,1430740,0,1341,0,0,
32,117,0.005554,124525,116,0.003454,1113836,0,1044,0,0,
33,147,0.003484,156460,147,0.003297,1411526,0,1323,0,0,
34,143,0.003536,152213,144,0.003415,1382674,0,1296,0,0,
35,168,0.002734,178818,167,0.003215,1603538,0,1503,0,0,
36,149,0.003227,158605,149,0.003449,1430692,0,1341,0,0,
37,127,0.003507,135172,127,0.004192,1219466,0,1143,0,0,
38,151,0.003073,160727,151,0.003587,1449892,0,1359,0,0,
39,128,0.003122,136248,129,0.004703,1237569,1,1160,0,0,
40,144,0.003145,153277,144,0.003774,1381647,1,1295,0,0,
41,121,0.003535,128795,121,0.004645,1161830,0,1089,0,0,
42,145,0.003786,154337,144,0.003108,1382644,0,1296,0,0,
43,133,0.003166,141560,133,0.004371,1277072,0,1197,0,0,
44,124,0.004194,131983,125,0.003787,1199193,1,1124,0,0,
45,120,0.004296,127726,119,0.004046,1139505,3,1068,0,0,
46,156,0.003043,166033,157,0.003322,1507476,0,1413,0,0,
47,165,0.002874,175625,165,0.003155,1584274,0,1485,0,0,
48,164,0.002905,174562,164,0.003157,1574710,0,1476,0,0,
49,159,0.003071,169230,158,0.003225,1516037,1,1421,0,0,
50,158,0.002861,168176,158,0.003452,1517132,0,1422,0,0,
51,144,0.003031,153265,144,0.003891,1382700,0,1296,0,0,
52,141,0.003133,150085,141,0.003907,1353916,0,1269,0,0,
53,146,0.003188,155403,147,0.003625,1411512,0,1323,0,0,
54,113,0.004393,120280,113,0.004424,1085032,0,1017,0,0,
55,162,0.003014,172434,161,0.003148,1544905,1,1448,0,0,
56,163,0.002738,173487,164,0.003361,1573663,1,1475,0,0,
