,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,69,0.006446,73448,68,0.008115,218084,0,204,0,0
1,108,0.004417,114954,109,0.004732,349608,0,327,0,0
2,119,0.004154,126662,118,0.004308,378482,0,354,0,0
3,132,0.003746,140507,133,0.003785,426572,0,399,0,0
4,133,0.003633,141572,132,0.003882,423340,0,396,0,0
5,150,0.003108,159653,151,0.003516,484316,0,453,0,0
6,149,0.003308,158597,148,0.003404,474676,0,444,0,0
7,157,0.002939,167117,157,0.003419,503556,0,471,0,0
8,175,0.002688,186259,175,0.002992,561308,0,525,0,0
9,181,0.002722,192660,181,0.002763,580526,0,543,0,0
10,170,0.002794,180957,170,0.003073,545252,0,510,0,0
11,176,0.002816,187333,176,0.00285,564480,0,528,0,0
12,176,0.002822,187334,176,0.002836,564494,0,528,0,0
13,169,0.002656,179874,169,0.003241,542038,0,507,0,0
14,172,0.002792,183083,173,0.002986,554856,0,519,0,0
15,160,0.002861,170296,159,0.003371,509958,0,477,0,0
16,159,0.00282,169223,160,0.00343,513204,0,480,0,0
17,177,0.00271,188402,176,0.002932,564476,0,528,0,0
18,176,0.00272,187330,176,0.002952,564510,0,528,0,0
19,166,0.002891,176683,167,0.003075,535640,0,501,0,0
20,166,0.002958,176690,166,0.003038,532418,0,498,0,0
21,163,0.002988,173497,162,0.003155,519594,0,486,0,0
22,178,0.00271,189459,178,0.002885,570924,0,534,0,0
23,181,0.002759,192651,181,0.002751,580522,0,543,0,0
24,169,0.002853,179873,169,0.003044,539914,2,505,0,0
25,183,0.002599,194776,183,0.002844,586980,0,549,0,0
26,168,0.002811,178821,169,0.003099,542040,0,507,0,0
27,157,0.003117,167106,156,0.003191,499291,1,467,0,0
28,164,0.003105,174553,165,0.002999,529208,0,495,0,0
29,178,0.002688,189445,178,0.002924,569871,1,533,0,0
30,169,0.002921,179880,169,0.00297,542026,0,507,0,0
31,176,0.002685,187319,175,0.002966,561298,0,525,0,0
32,172,0.002846,183076,172,0.002976,551662,0,516,0,0
33,167,0.002833,177757,167,0.003124,535584,0,501,0,0
34,143,0.003446,152200,143,0.003533,458634,0,429,0,0
35,155,0.003137,164973,155,0.003261,497136,0,465,0,0
36,167,0.002888,177748,168,0.003088,538816,0,504,0,0
37,173,0.002629,184152,172,0.003122,551642,0,516,0,0
38,174,0.0029,185204,175,0.002835,561252,0,525,0,0
39,173,0.00286,184155,172,0.002917,551674,0,516,0,0
40,157,0.003166,167115,157,0.00316,503520,0,471,0,0
41,171,0.002883,182009,172,0.002939,551660,0,516,0,0
42,160,0.003124,170296,160,0.003109,513168,0,480,0,0
43,164,0.002888,174576,163,0.003214,522826,0,489,0,0
44,157,0.003143,167104,157,0.003179,503528,0,471,0,0
45,170,0.002793,180936,170,0.003072,545252,0,510,0,0
46,177,0.002771,188397,178,0.002829,570900,0,534,0,0
47,180,0.002625,191586,179,0.002939,574104,0,537,0,0
48,175,0.002645,186272,176,0.003033,564444,0,528,0,0
49,161,0.002918,171367,161,0.003154,516368,0,483,0,0
50,173,0.002972,184152,172,0.002913,551668,0,516,0,0
51,179,0.002659,190533,179,0.002895,574102,0,537,0,0
52,182,0.002645,193718,182,0.002834,583744,0,546,0,0
53,181,0.002634,192652,182,0.002857,583728,0,546,0,0
54,176,0.002659,187340,175,0.003005,561316,0,525,0,0
55,174,0.002781,185199,175,0.002907,561286,0,525,0,0
56,170,0.002884,180959,170,0.002941,545216,0,510,0,0
57,185,0.002618,196919,184,0.002794,590150,0,552,0,0
58,169,0.002882,179884,169,0.003044,542054,0,507,0,0
59,179,0.002628,190525,179,0.002911,574122,0,537,0,0
60,168,0.002832,178827,169,0.003089,542012,0,507,0,0
61,174,0.002734,185211,173,0.003013,554858,0,519,0,0
