S1 Load	S2 Load	S3 Load
446	431	422
452	444	412
401	447	431
461	460	440
473	415	438
441	434	458
479	461	425
425	433	438
476	495	455
462	449	432
470	412	443
465	455	477
426	462	432
458	449	448
453	449	463
432	424	454
455	465	433
412	424	467
427	475	451
427	454	474
437	450	463
441	471	456
469	444	432
441	446	440
456	435	443
490	464	471
442	465	448
468	456	434
429	447	442
503	443	442
443	478	406
450	449	445
468	416	455
398	451	450
428	425	461
408	445	442
425	414	451
443	424	420
435	434	452
419	432	462
480	454	450
436	453	436
436	463	430
460	422	451
467	435	437
407	426	452
449	403	469
423	443	443
415	431	442
435	417	471
434	459	435
428	459	450
430	428	419
412	465	482
415	457	449
445	409	440
452	443	434
431	462	460
440	435	419
465	445	430
464	416	420
449	438	449
435	469	402
451	434	414

AVG: 443.640625	443.640625	443.625
