Per-Second Benchmark Data,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,64,0.007341,68127,64,0.008101,205256,0,192,0,0
1,112,0.004089,119211,111,0.004902,356020,0,333,0,0
2,138,0.003502,146886,138,0.00374,442636,0,414,0,0
3,142,0.003627,151148,142,0.0034,455428,0,426,0,0
4,158,0.003007,168186,158,0.003224,506746,0,474,0,0
5,153,0.003164,162850,154,0.003317,493936,0,462,0,0
6,157,0.003055,167112,156,0.003381,500328,0,468,0,0
7,141,0.003328,150085,141,0.003774,452238,0,423,0,0
8,183,0.002696,194774,183,0.002754,586962,0,549,0,0
9,188,0.002729,200115,188,0.002556,602972,0,564,0,0
10,159,0.002817,169245,159,0.002981,509978,0,477,0,0
11,158,0.003066,168170,159,0.003699,509956,0,477,0,0
12,189,0.002487,201166,189,0.002509,606184,0,567,0,0
13,142,0.003566,151140,141,0.003826,452238,0,423,0,0
14,200,0.00256,212885,201,0.002423,644672,0,603,0,0
15,207,0.002495,220309,207,0.00231,663924,0,621,0,0
16,152,0.00338,161793,151,0.003191,484306,0,453,0,0
17,173,0.003019,184144,174,0.002651,558094,0,522,0,0
18,176,0.003046,187319,175,0.002715,561276,0,525,0,0
19,178,0.002962,189460,179,0.0026,574126,0,537,0,0
20,154,0.003013,163918,153,0.00351,490726,0,459,0,0
21,164,0.003402,174563,165,0.002654,529228,0,495,0,0
22,149,0.003265,158587,149,0.003399,477884,0,447,0,0
23,179,0.002956,190524,179,0.002632,574110,0,537,0,0
24,205,0.00264,218183,204,0.002228,653253,1,611,0,0
25,167,0.003208,177762,167,0.002758,535640,0,501,0,0
26,161,0.003425,171364,161,0.002749,516388,0,483,0,0
27,148,0.003454,157524,148,0.003286,474684,0,444,0,0
28,190,0.002609,202218,190,0.002506,609400,0,570,0,0
29,159,0.00253,169233,160,0.003738,512125,1,479,0,0
30,195,0.002817,207546,195,0.002407,625434,0,585,0,0
31,190,0.002592,202229,190,0.002631,609400,0,570,0,0
32,198,0.002615,210751,198,0.002421,635014,0,594,0,0
33,207,0.002604,220324,207,0.00221,663892,0,621,0,0
34,173,0.003439,184130,172,0.002343,551658,0,516,0,0
35,185,0.00291,196916,186,0.002453,596542,0,558,0,0
36,175,0.002667,186277,175,0.002907,561270,0,525,0,0
37,152,0.003622,161792,152,0.003083,487500,0,456,0,0
38,194,0.002613,206492,194,0.00252,622222,0,582,0,0
39,176,0.002986,187340,176,0.002658,564470,0,528,0,0
40,158,0.003331,168173,157,0.003002,503536,0,471,0,0
41,157,0.003045,167112,158,0.002421,506786,0,474,0,0
42,118,0.006595,125605,117,0.003037,375260,0,351,0,0
43,173,0.003297,184137,173,0.002471,554850,0,519,0,0
44,184,0.002747,195839,185,0.002644,593358,0,555,0,0
45,164,0.003105,174559,163,0.002997,522794,0,489,0,0
46,168,0.002895,178816,168,0.00304,538816,0,504,0,0
47,170,0.002912,180948,170,0.002935,545202,0,510,0,0
48,165,0.0031,175626,165,0.002949,529208,0,495,0,0
49,158,0.003137,168185,158,0.003123,506766,0,474,0,0
50,182,0.002858,193722,182,0.002658,583716,0,546,0,0
51,163,0.002786,173498,164,0.002718,526012,0,492,0,0
52,167,0.003542,177752,167,0.003007,535618,0,501,0,0
53,161,0.003569,171371,161,0.002613,516412,0,483,0,0
54,188,0.002724,200107,188,0.002577,602982,0,564,0,0
55,191,0.002454,203307,190,0.002716,609366,0,570,0,0
