,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,63,0.008137,67062,63,0.007673,202048,0,189,0,0
1,103,0.005303,109632,102,0.004433,327156,0,306,0,0
2,126,0.004142,134113,127,0.00375,407350,0,381,0,0
3,130,0.003718,138379,129,0.003802,413740,0,387,0,0
4,146,0.003027,155405,147,0.00394,471454,0,441,0,0
5,142,0.003478,151141,142,0.003521,455448,0,426,0,0
6,147,0.003816,156467,147,0.002981,471468,0,441,0,0
7,131,0.003595,139437,131,0.004012,420156,0,393,0,0
8,162,0.003122,172429,161,0.003056,516414,0,483,0,0
9,173,0.002716,184146,173,0.003036,554864,0,519,0,0
10,146,0.003579,155404,147,0.003227,471476,0,441,0,0
11,150,0.003215,159666,149,0.003451,477902,0,447,0,0
12,169,0.003188,179886,169,0.002707,542028,0,507,0,0
13,125,0.004499,133046,125,0.003484,400918,0,375,0,0
14,179,0.003048,190519,179,0.002525,574108,0,537,0,0
15,187,0.00288,199048,188,0.002432,602984,0,564,0,0
16,132,0.004294,140490,132,0.003261,423356,0,396,0,0
17,159,0.003083,169227,159,0.003162,509992,0,477,0,0
18,159,0.003492,169242,159,0.002792,509950,0,477,0,0
19,159,0.003289,169236,158,0.002983,506778,0,474,0,0
20,141,0.003189,150066,142,0.003865,455448,0,426,0,0
21,157,0.002971,167117,156,0.003413,500348,0,468,0,0
22,142,0.003916,151145,142,0.003111,455446,0,426,0,0
23,161,0.003243,171367,161,0.002901,516398,0,483,0,0
24,195,0.002554,207553,196,0.002568,628636,0,588,0,0
25,155,0.003492,164977,154,0.002971,492863,1,461,0,0
26,154,0.003303,163898,154,0.003118,493940,0,462,0,0
27,132,0.003215,140500,133,0.004365,426600,0,399,0,0
28,164,0.002809,174565,163,0.002839,522790,0,489,0,0
29,154,0.003029,163912,155,0.003691,497140,0,465,0,0
30,189,0.002905,201157,189,0.002528,606194,0,567,0,0
31,173,0.003105,184127,173,0.002652,553829,1,518,0,0
32,182,0.002848,193715,182,0.00262,583728,0,546,0,0
33,198,0.002765,210741,197,0.002288,631848,0,591,0,0
34,164,0.003396,174559,165,0.002667,529196,0,495,0,0
35,170,0.002952,180947,170,0.002906,545220,0,510,0,0
36,150,0.003147,159650,150,0.003502,481078,0,450,0,0
37,142,0.003601,151138,142,0.00342,455444,0,426,0,0
38,175,0.002884,186272,175,0.002778,561264,0,525,0,0
39,164,0.003301,174569,164,0.00281,525988,0,492,0,0
40,149,0.003144,158599,148,0.003572,474662,0,444,0,0
41,133,0.003157,141570,134,0.002935,429792,0,402,0,0
42,118,0.006766,125595,118,0.003237,378462,0,354,0,0
43,156,0.003381,166050,156,0.003008,500324,0,468,0,0
44,163,0.003587,173494,163,0.002527,522780,0,489,0,0
45,147,0.003239,156471,146,0.003559,468296,0,438,0,0
46,157,0.003459,167115,158,0.002871,506756,0,474,0,0
47,147,0.003667,156460,147,0.003128,471474,0,441,0,0
48,148,0.003355,157525,147,0.003406,471466,0,441,0,0
49,136,0.003549,144754,137,0.003745,439406,0,411,0,0
50,160,0.003202,170300,160,0.002969,513174,0,480,0,0
51,144,0.003462,153275,144,0.00353,461824,0,432,0,0
52,143,0.003211,152203,143,0.003001,458624,0,429,0,0
53,145,0.004499,154351,144,0.003131,461854,0,432,0,0
54,167,0.003124,177760,168,0.002817,538832,0,504,0,0
55,159,0.003118,169234,159,0.002804,509952,0,477,0,0
56,157,0.004042,167118,157,0.002682,503556,0,471,0,0
57,142,0.003123,151140,141,0.003919,452230,0,423,0,0
58,168,0.003104,178821,168,0.002807,538866,0,504,0,0
59,129,0.004501,137312,129,0.003262,413748,0,387,0,0
60,148,0.003236,157529,149,0.003269,477880,0,447,0,0
61,165,0.003375,175633,165,0.002849,529206,0,495,0,0
62,153,0.002979,162856,153,0.003543,490720,0,459,0,0
63,162,0.002873,172435,162,0.003246,519600,0,486,0,0
64,167,0.003115,177751,167,0.002878,535634,0,501,0,0
65,170,0.003161,180952,169,0.002719,542010,0,507,0,0
66,154,0.003138,163927,155,0.00328,497124,0,465,0,0
67,157,0.00321,167109,156,0.003144,500366,0,468,0,0
68,163,0.003176,173493,163,0.002948,522788,0,489,0,0
69,145,0.003081,154338,145,0.003415,465068,0,435,0,0
70,119,0.003044,126671,119,0.005824,381674,0,357,0,0
71,158,0.003151,168170,159,0.003139,509946,0,477,0,0
72,162,0.00337,172444,162,0.002781,519604,0,486,0,0
73,160,0.003227,170292,159,0.002975,509964,0,477,0,0
74,162,0.003088,172438,162,0.003084,519596,0,486,0,0
75,146,0.003502,155404,147,0.003302,471490,0,441,0,0
76,169,0.003032,179866,169,0.002866,542042,0,507,0,0
77,167,0.002989,177743,167,0.003,535606,0,501,0,0
78,180,0.003051,191599,179,0.002489,574108,0,537,0,0
79,137,0.003427,145835,138,0.003759,442610,0,414,0,0
80,1,0.004766,1065,0,0,0,0,0,0,0
,155.507042253521,,,155.507042253521,,,,,,
Full-Test GET Latency,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,
0.81,0.01,,,12263,12262,,,,,
0.84,0.03,,,,,,,,,
