Per-Second Benchmark Data,,,,,,,,,,,
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency,
0,75,0.005321,79828,74,0.008056,710570,0,666,0,0,
1,98,0.004828,104313,98,0.00537,941028,0,882,0,0,
2,117,0.003888,124520,118,0.004576,1132988,0,1062,0,0,
3,125,0.00394,133050,124,0.004036,1190632,0,1116,0,0,
4,123,0.004031,130931,123,0.004109,1181060,0,1107,0,0,
5,135,0.00336,143693,135,0.004014,1296280,0,1215,0,0,
6,125,0.003508,133054,126,0.00444,1209854,0,1134,0,0,
7,142,0.003219,151147,142,0.003787,1363500,0,1278,0,0,
8,151,0.003213,160736,151,0.00336,1449892,0,1359,0,0,
9,155,0.002913,164991,154,0.003558,1478718,0,1386,0,0,
10,139,0.003218,147943,139,0.003952,1334698,0,1251,0,0,
11,156,0.00311,166041,157,0.003259,1506483,1,1412,0,0,
12,160,0.003067,170302,159,0.003151,1526770,0,1431,0,0,
13,159,0.002788,169243,160,0.003471,1535271,1,1439,0,0,
14,169,0.002705,179871,168,0.003178,1613144,0,1512,0,0,
15,162,0.002893,172425,163,0.003236,1564055,1,1466,0,0,
16,157,0.002926,167109,156,0.003465,1497904,0,1404,0,0,
17,167,0.002836,177752,167,0.003115,1603504,0,1503,0,0,
18,141,0.003334,150065,141,0.003738,1353852,0,1269,0,0,
19,166,0.002711,176678,167,0.003259,1603518,0,1503,0,0,
20,142,0.003293,151143,141,0.003744,1353846,0,1269,0,0,
21,157,0.002971,167123,157,0.003387,1507472,0,1413,0,0,
22,142,0.003108,151145,142,0.003888,1363502,0,1278,0,0,
23,147,0.003058,156466,147,0.003733,1411478,0,1323,0,0,
24,156,0.003055,166049,156,0.003303,1497866,0,1404,0,0,
25,151,0.002913,160720,152,0.003664,1459446,0,1368,0,0,
26,154,0.002888,163910,154,0.003589,1478692,0,1386,0,0,
27,154,0.003117,163905,154,0.003356,1478710,0,1386,0,0,
28,150,0.003264,159671,149,0.003384,1430716,0,1341,0,0,
29,148,0.003098,157537,149,0.003621,1430678,0,1341,0,0,
30,162,0.002902,172429,162,0.00324,1555558,0,1458,0,0,
31,166,0.002876,176678,165,0.00315,1584340,0,1485,0,0,
32,140,0.003334,149016,140,0.003773,1344308,0,1260,0,0,
33,151,0.003043,160722,151,0.003558,1449904,0,1359,0,0,
34,159,0.002819,169243,160,0.003432,1536314,0,1440,0,0,
35,145,0.003109,154344,145,0.003746,1392282,0,1305,0,0,
36,157,0.002945,167105,157,0.003408,1507522,0,1413,0,0,
37,153,0.002957,162853,152,0.003579,1459484,0,1368,0,0,
38,152,0.003089,161799,153,0.003412,1469112,0,1377,0,0,
39,158,0.002814,168174,158,0.003509,1517088,0,1422,0,0,
40,127,0.004499,135181,127,0.003347,1219422,0,1143,0,0,
41,163,0.002807,173493,163,0.003294,1565126,0,1467,0,0,
42,161,0.002807,171367,160,0.00341,1535253,1,1439,0,0,
43,158,0.003027,168172,159,0.003249,1525669,1,1430,0,0,
44,160,0.002943,170295,160,0.003275,1536282,0,1440,0,0,
45,161,0.002915,171365,161,0.003277,1545890,0,1449,0,0,
46,158,0.00296,168170,158,0.003344,1516013,1,1421,0,0,
47,163,0.002807,173478,162,0.003328,1555548,0,1458,0,0,
48,155,0.003097,165000,155,0.003324,1488304,0,1395,0,0,
49,161,0.00285,171356,161,0.003333,1545934,0,1449,0,0,
50,159,0.002898,169244,159,0.003372,1526776,0,1431,0,0,
51,138,0.0028,146886,139,0.004374,1334688,0,1251,0,0,
52,156,0.002958,166052,155,0.003455,1488324,0,1395,0,0,
53,162,0.00279,172423,163,0.003336,1565130,0,1467,0,0,
54,153,0.003007,162846,153,0.00351,1469122,0,1377,0,0,
55,157,0.002892,167109,157,0.003439,1507536,0,1413,0,0,
56,154,0.002998,163917,153,0.003498,1469122,0,1377,0,0,
57,151,0.002854,160726,152,0.003713,1459520,0,1368,0,0,
58,159,0.002886,169238,158,0.003399,1516107,1,1421,0,0,
59,163,0.00278,173488,164,0.003319,1574730,0,1476,0,0,
60,160,0.002921,170308,159,0.003325,1526700,0,1431,0,0,
61,158,0.002987,168159,158,0.003322,1517140,0,1422,0,0,
62,139,0.00358,147948,140,0.003544,1344258,0,1260,0,0,
63,140,0.003287,149012,139,0.00387,1334650,0,1251,0,0,
64,154,0.003039,163916,154,0.003404,1478670,0,1386,0,0,
65,156,0.002842,166033,157,0.003547,1507536,0,1413,0,0,
66,159,0.002877,169238,159,0.003385,1525619,1,1430,0,0,
67,148,0.003072,157523,148,0.003665,1421116,0,1332,0,0,
68,158,0.002974,168179,158,0.00332,1517090,0,1422,0,0,
69,147,0.003044,156469,147,0.003717,1411494,0,1323,0,0,
70,147,0.003137,156463,146,0.003672,1400867,1,1313,0,0,
71,154,0.002987,163922,154,0.003478,1478718,0,1386,0,0,
72,160,0.002966,170303,160,0.00326,1534234,2,1438,0,0,
73,158,0.003006,168179,159,0.003236,1526744,0,1431,0,0,
74,144,0.003056,153270,143,0.0039,1373090,0,1287,0,0,
75,164,0.002887,174561,165,0.003195,1583349,1,1484,0,0,
76,161,0.002752,171359,160,0.003452,1536396,0,1440,0,0,
77,171,0.002613,182012,171,0.003212,1640885,1,1538,0,0,
78,155,0.00304,164991,155,0.003382,1488340,0,1395,0,0,
79,156,0.003079,166033,157,0.003286,1507490,0,1413,0,0,
80,1,0.001743,1065,0,0,0,0,0,0,0,
,153.422535211268,,,153.43661971831,,,,,,,
Full-Test GET Latency,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,
1.7,0.02,,,12075,12074,,,,,,
1.8,0.17,,,,,,,,,,
1.9,0.74,,,,,,,,,,
2,2.16,,,,,,,,,,
2.1,5.01,,,,,,,,,,
2.2,9.47,,,,,,,,,,
2.3,15.22,,,,,,,,,,
2.4,21.34,,,,,,,,,,
2.5,28.37,,,,,,,,,,
2.6,35.23,,,,,,,,,,
2.7,41.58,,,,,,,,,,
2.8,48.06,,,,,,,,,,
2.9,53,,,,,,,,,,
3,57.43,,,,,,,,,,
3.1,61.2,,,12075,12074,,12907,12906,,14136,14136
3.2,64.7,,,11815,11815,,12625,12624,,14568,14568
3.3,67.23,,,23890,23889,,25532,25530,,28704,28704
3.4,69.69,,,23990,23988,,24052,24051,,28628,28626
3.5,71.6,,,24497,24496,,24584,24583,,28342,28340
3.6,73.17,,,24125.6666666667,24124.3333333333,,24722.6666666667,24721.3333333333,,28558,28556.6666666667
3.7,74.7,,,20136.6666666667,20135.6666666667,,20727.6666666667,20726,,25396,25394.3333333333
3.8,75.84,,,44262.3333333334,44260,,45450.3333333334,45447.3333333333,,53954,53951
3.9,76.83,,,,,,,,,,
4,77.89,,,16218,16217,,,,,,
4.1,78.72,,,16182,16182,,,,,,
4.2,79.47,,,32400,32399,,,,,,
4.3,80.12,,,31129,31127,,,,,,
4.4,80.69,,,30710,30708,,,,,,
4.5,81.07,,,31413,31411.3333333333,,,,,,
4.6,81.52,,,27428.3333333333,27426.6666666667,,,,,,
4.7,82.03,,,58841.3333333333,58838,,,,,,
4.8,82.61,,,,,,,,,,
4.9,83.05,,,,,,,,,,
5,83.67,,,,,,,,,,
5.1,84.4,,,,,,,,,,
5.2,85.11,,,,,,,,,,
5.3,85.89,,,,,,,,,,
5.4,86.76,,,,,,,,,,
5.5,87.53,,,,,,,,,,
5.6,88.45,,,,,,,,,,
5.7,89.37,,,,,,,,,,
5.8,90.11,,,,,,,,,,
5.9,90.79,,,,,,,,,,
6,91.62,,,,,,,,,,
6.1,92.33,,,,,,,,,,
6.2,92.91,,,,,,,,,,
6.3,93.52,,,,,,,,,,
6.4,93.99,,,,,,,,,,
6.5,94.44,,,,,,,,,,
6.6,94.93,,,,,,,,,,
6.7,95.35,,,,,,,,,,
6.8,95.64,,,,,,,,,,
6.9,95.88,,,,,,,,,,
7,96.18,,,,,,,,,,
7.1,96.45,,,,,,,,,,
7.2,96.61,,,,,,,,,,
7.3,96.89,,,,,,,,,,
7.4,97.14,,,,,,,,,,
7.5,97.29,,,,,,,,,,
7.6,97.5,,,,,,,,,,
7.7,97.61,,,,,,,,,,
7.8,97.7,,,,,,,,,,
7.9,97.81,,,,,,,,,,
8,97.96,,,,,,,,,,
8.1,98.1,,,,,,,,,,
8.2,98.19,,,,,,,,,,
8.3,98.26,,,,,,,,,,
8.4,98.35,,,,,,,,,,
8.5,98.42,,,,,,,,,,
8.6,98.48,,,,,,,,,,
8.7,98.53,,,,,,,,,,
8.8,98.61,,,,,,,,,,
8.9,98.67,,,,,,,,,,
9,98.74,,,,,,,,,,
9.1,98.8,,,,,,,,,,
9.2,98.84,,,,,,,,,,
9.3,98.91,,,,,,,,,,
9.4,98.95,,,,,,,,,,
9.5,98.97,,,,,,,,,,
9.6,99,,,,,,,,,,
9.7,99.01,,,,,,,,,,
9.8,99.05,,,,,,,,,,
9.9,99.06,,,,,,,,,,
10,99.2,,,,,,,,,,
11,99.41,,,,,,,,,,
12,99.57,,,,,,,,,,
13,99.67,,,,,,,,,,
14,99.74,,,,,,,,,,
15,99.78,,,,,,,,,,
16,99.81,,,,,,,,,,
17,99.82,,,,,,,,,,
18,99.83,,,,,,,,,,
19,99.86,,,,,,,,,,
20,99.88,,,,,,,,,,
21,99.91,,,,,,,,,,
22,99.92,,,,,,,,,,
23,99.94,,,,,,,,,,
24,99.95,,,,,,,,,,
25,99.97,,,,,,,,,,
29,99.98,,,,,,,,,,
49,99.98,,,,,,,,,,
60,99.99,,,,,,,,,,
180,100,,,,,,,,,,
,,,,,,,,,,,
Full-Test SET Latency,,,,,,,,,,,
Latency (<= msec),Percent,,,,,,,,,,
1.3,0.03,,,,,,,,,,
1.4,0.23,,,,,,,,,,
1.5,1.06,,,,,,,,,,
1.6,3.07,,,,,,,,,,
1.7,6.66,,,,,,,,,,
1.8,11.61,,,,,,,,,,
1.9,17.57,,,,,,,,,,
2,24.27,,,,,,,,,,
2.1,31.66,,,,,,,,,,
2.2,38.41,,,,,,,,,,
2.3,44.51,,,,,,,,,,
2.4,50.28,,,,,,,,,,
2.5,55.33,,,,,,,,,,
2.6,59.54,,,,,,,,,,
2.7,63.07,,,,,,,,,,
2.8,65.97,,,,,,,,,,
2.9,68.2,,,,,,,,,,
3,70.54,,,,,,,,,,
3.1,72.31,,,,,,,,,,
3.2,73.93,,,,,,,,,,
3.3,75.35,,,,,,,,,,
3.4,76.41,,,,,,,,,,
3.5,77.41,,,,,,,,,,
3.6,78.39,,,,,,,,,,
3.7,79.05,,,,,,,,,,
3.8,79.85,,,,,,,,,,
3.9,80.67,,,,,,,,,,
4,81.34,,,,,,,,,,
4.1,81.95,,,,,,,,,,
4.2,82.48,,,,,,,,,,
4.3,83.05,,,,,,,,,,
4.4,83.61,,,,,,,,,,
4.5,84.3,,,,,,,,,,
4.6,84.95,,,,,,,,,,
4.7,85.63,,,,,,,,,,
4.8,86.43,,,,,,,,,,
4.9,87.4,,,,,,,,,,
5,88.38,,,,,,,,,,
5.1,89.13,,,,,,,,,,
5.2,89.88,,,,,,,,,,
5.3,90.63,,,,,,,,,,
5.4,91.36,,,,,,,,,,
5.5,92.16,,,,,,,,,,
5.6,92.75,,,,,,,,,,
5.7,93.33,,,,,,,,,,
5.8,93.95,,,,,,,,,,
5.9,94.39,,,,,,,,,,
6,94.87,,,,,,,,,,
6.1,95.25,,,,,,,,,,
6.2,95.63,,,,,,,,,,
6.3,95.99,,,,,,,,,,
6.4,96.31,,,,,,,,,,
6.5,96.55,,,,,,,,,,
6.6,96.79,,,,,,,,,,
6.7,96.97,,,,,,,,,,
6.8,97.11,,,,,,,,,,
6.9,97.34,,,,,,,,,,
7,97.53,,,,,,,,,,
7.1,97.65,,,,,,,,,,
7.2,97.72,,,,,,,,,,
7.3,97.84,,,,,,,,,,
7.4,98,,,,,,,,,,
7.5,98.05,,,,,,,,,,
7.6,98.14,,,,,,,,,,
7.7,98.2,,,,,,,,,,
7.8,98.26,,,,,,,,,,
7.9,98.31,,,,,,,,,,
8,98.34,,,,,,,,,,
8.1,98.41,,,,,,,,,,
8.2,98.48,,,,,,,,,,
8.3,98.54,,,,,,,,,,
8.4,98.58,,,,,,,,,,
8.5,98.64,,,,,,,,,,
8.6,98.7,,,,,,,,,,
8.7,98.75,,,,,,,,,,
8.8,98.78,,,,,,,,,,
8.9,98.84,,,,,,,,,,
9,98.88,,,,,,,,,,
9.1,98.97,,,,,,,,,,
9.2,99.01,,,,,,,,,,
9.3,99.06,,,,,,,,,,
9.4,99.08,,,,,,,,,,
9.5,99.12,,,,,,,,,,
9.6,99.16,,,,,,,,,,
9.7,99.17,,,,,,,,,,
9.8,99.21,,,,,,,,,,
9.9,99.24,,,,,,,,,,
10,99.38,,,,,,,,,,
11,99.5,,,,,,,,,,
12,99.69,,,,,,,,,,
13,99.73,,,,,,,,,,
14,99.78,,,,,,,,,,
15,99.8,,,,,,,,,,
16,99.81,,,,,,,,,,
17,99.85,,,,,,,,,,
18,99.91,,,,,,,,,,
19,99.92,,,,,,,,,,
21,99.93,,,,,,,,,,
24,99.93,,,,,,,,,,
25,99.96,,,,,,,,,,
